uid,event_name,event_time
61,pageview,2022-01-01 08:06:00
61,add_to_cart,2022-01-01 08:11:00
62,pageview,2022-01-01 08:24:00
62,add_to_cart,2022-01-01 08:29:00
62,checkout,2022-01-01 08:34:00
62,payment,2022-01-01 08:39:00
63,pageview,2022-01-01 08:39:00
63,payment,2022-01-01 08:54:00
64,pageview,2022-01-01 08:54:00
64,add_to_cart,2022-01-01 08:59:00
65,pageview,2022-01-01 08:48:00
66,pageview,2022-01-01 08:13:00
66,checkout,2022-01-01 08:23:00
67,pageview,2022-01-01 08:18:00
68,pageview,2022-01-01 08:55:00
68,add_to_cart,2022-01-01 09:00:00
68,checkout,2022-01-01 09:05:00
69,pageview,2022-01-01 08:16:00
69,checkout,2022-01-01 08:26:00
69,payment,2022-01-01 08:31:00
70,pageview,2022-01-01 08:56:00
71,pageview,2022-01-01 08:46:00
71,add_to_cart,2022-01-01 08:51:00
71,checkout,2022-01-01 08:56:00
72,pageview,2022-01-01 08:30:00
72,add_to_cart,2022-01-01 08:35:00
73,pageview,2022-01-01 08:06:00
73,add_to_cart,2022-01-01 08:11:00
74,pageview,2022-01-01 08:59:00
74,add_to_cart,2022-01-01 09:04:00
74,checkout,2022-01-01 09:09:00
75,pageview,2022-01-01 08:10:00
75,add_to_cart,2022-01-01 08:15:00
75,checkout,2022-01-01 08:20:00
75,payment,2022-01-01 08:25:00
76,pageview,2022-01-01 08:07:00
76,add_to_cart,2022-01-01 08:12:00
77,pageview,2022-01-01 08:09:00
77,add_to_cart,2022-01-01 08:14:00
78,pageview,2022-01-01 08:29:00
78,add_to_cart,2022-01-01 08:34:00
78,payment,2022-01-01 08:44:00
79,pageview,2022-01-01 08:52:00
79,checkout,2022-01-01 09:02:00
80,pageview,2022-01-01 08:38:00
81,pageview,2022-01-01 08:49:00
81,checkout,2022-01-01 08:59:00
82,pageview,2022-01-01 08:03:00
82,checkout,2022-01-01 08:13:00
83,pageview,2022-01-01 08:00:00
83,add_to_cart,2022-01-01 08:05:00
83,checkout,2022-01-01 08:10:00
83,payment,2022-01-01 08:15:00
84,pageview,2022-01-01 08:52:00
84,add_to_cart,2022-01-01 08:57:00
84,payment,2022-01-01 09:07:00
85,pageview,2022-01-01 08:46:00
85,add_to_cart,2022-01-01 08:51:00
86,pageview,2022-01-01 08:37:00
86,add_to_cart,2022-01-01 08:42:00
86,checkout,2022-01-01 08:47:00
87,pageview,2022-01-01 08:10:00
87,add_to_cart,2022-01-01 08:15:00
87,checkout,2022-01-01 08:20:00
88,pageview,2022-01-01 08:51:00
88,add_to_cart,2022-01-01 08:56:00
89,pageview,2022-01-01 08:33:00
89,add_to_cart,2022-01-01 08:38:00
90,pageview,2022-01-01 08:56:00
90,checkout,2022-01-01 09:06:00
90,payment,2022-01-01 09:11:00
91,pageview,2022-01-01 08:21:00
91,add_to_cart,2022-01-01 08:26:00
92,pageview,2022-01-01 08:00:00
93,pageview,2022-01-01 08:49:00
93,add_to_cart,2022-01-01 08:54:00
93,payment,2022-01-01 09:04:00
94,pageview,2022-01-01 08:08:00
94,add_to_cart,2022-01-01 08:13:00
95,pageview,2022-01-01 08:08:00
95,add_to_cart,2022-01-01 08:13:00
96,pageview,2022-01-01 08:39:00
96,payment,2022-01-01 08:54:00
97,pageview,2022-01-01 08:55:00
97,payment,2022-01-01 09:10:00
98,pageview,2022-01-01 08:04:00
98,payment,2022-01-01 08:19:00
99,pageview,2022-01-01 08:26:00
99,add_to_cart,2022-01-01 08:31:00
100,pageview,2022-01-01 08:19:00
100,add_to_cart,2022-01-01 08:24:00
100,checkout,2022-01-01 08:29:00
101,pageview,2022-01-01 08:42:00
101,add_to_cart,2022-01-01 08:47:00
102,pageview,2022-01-01 08:10:00
103,pageview,2022-01-01 08:52:00
103,add_to_cart,2022-01-01 08:57:00
104,pageview,2022-01-01 08:27:00
104,add_to_cart,2022-01-01 08:32:00
104,payment,2022-01-01 08:42:00
105,pageview,2022-01-01 08:34:00
105,add_to_cart,2022-01-01 08:39:00
105,payment,2022-01-01 08:49:00
106,pageview,2022-01-01 08:47:00
106,add_to_cart,2022-01-01 08:52:00
106,payment,2022-01-01 09:02:00
107,pageview,2022-01-01 08:05:00
107,checkout,2022-01-01 08:15:00
108,pageview,2022-01-01 08:48:00
108,add_to_cart,2022-01-01 08:53:00
108,payment,2022-01-01 09:03:00
109,pageview,2022-01-01 08:51:00
109,checkout,2022-01-01 09:01:00
110,pageview,2022-01-01 08:26:00
110,add_to_cart,2022-01-01 08:31:00
111,pageview,2022-01-01 08:57:00
111,add_to_cart,2022-01-01 09:02:00
112,pageview,2022-01-01 08:04:00
112,add_to_cart,2022-01-01 08:09:00
113,pageview,2022-01-01 08:59:00
113,add_to_cart,2022-01-01 09:04:00
114,pageview,2022-01-01 08:11:00
114,add_to_cart,2022-01-01 08:16:00
115,pageview,2022-01-01 08:55:00
115,add_to_cart,2022-01-01 09:00:00
115,checkout,2022-01-01 09:05:00
116,pageview,2022-01-01 08:06:00
116,add_to_cart,2022-01-01 08:11:00
117,pageview,2022-01-01 08:08:00
117,add_to_cart,2022-01-01 08:13:00
118,pageview,2022-01-01 08:16:00
119,pageview,2022-01-01 08:52:00
119,checkout,2022-01-01 09:02:00
120,pageview,2022-01-01 08:22:00
120,add_to_cart,2022-01-01 08:27:00
120,checkout,2022-01-01 08:32:00
120,payment,2022-01-01 08:37:00
121,pageview,2022-01-01 08:25:00
122,pageview,2022-01-01 08:02:00
122,add_to_cart,2022-01-01 08:07:00
122,checkout,2022-01-01 08:12:00
122,payment,2022-01-01 08:17:00
123,pageview,2022-01-01 08:38:00
123,add_to_cart,2022-01-01 08:43:00
123,checkout,2022-01-01 08:48:00
124,pageview,2022-01-01 08:39:00
124,add_to_cart,2022-01-01 08:44:00
125,pageview,2022-01-01 08:35:00
125,add_to_cart,2022-01-01 08:40:00
126,pageview,2022-01-01 08:00:00
126,add_to_cart,2022-01-01 08:05:00
126,checkout,2022-01-01 08:10:00
126,payment,2022-01-01 08:15:00
127,pageview,2022-01-01 08:11:00
127,add_to_cart,2022-01-01 08:16:00
127,payment,2022-01-01 08:26:00
128,pageview,2022-01-01 08:18:00
128,add_to_cart,2022-01-01 08:23:00
128,payment,2022-01-01 08:33:00
129,pageview,2022-01-01 08:55:00
130,pageview,2022-01-01 08:01:00
130,add_to_cart,2022-01-01 08:06:00
131,pageview,2022-01-01 08:51:00
131,add_to_cart,2022-01-01 08:56:00
132,pageview,2022-01-01 08:25:00
132,checkout,2022-01-01 08:35:00
132,payment,2022-01-01 08:40:00
133,pageview,2022-01-01 08:11:00
